rationale_score,match,clue,answer,prediction,rationale
,False,Şters din datoria personalului de serviciu,pRAF,,
,False,Înlocuire la adăpostul întunericului,IaTAC,,
,False,Mişcarea de eliberare,SMuCIRE,,
,False,Tăiată la spital!,TA,,
,False,Aproape de un nivel inacceptabil,lOAZA,,
,False,Grăsuliu la talie,SU,,
,False,Executantul unor lovituri de pedeapsă,BIcI,,
,False,Rezultat la adunare,UNIT,,
,False,Bani cheltuiţi prin bazar,LIRE,,
,False,Obligaţie de serviciu,oRDIN,,
,False,Admiterea unui refuz,NU,,
,False,Juniori aflaţi în pregătire cu seniorii,PAjI,,
,False,Mică la trup!,IC,,
,False,Fudulii de cocoşi (sg.),TANTOS,,
,False,Propune o variantă la pronosport!,oR,,
,False,O lume fără graniţe!,UM,,
,False,Subiect de discuţie,ORAL,,
,False,Cea... dreaptă,aIA,,
,False,Aburit la masă,FIERT,,
,False,Vechea lege a creştinilor,EDIcT,,
,False,Tare de urechi,ACUT,,
,False,A înconjura cu ostilitate,ASEDIa,,
,False,Bani în schimbul armelor (sg.),pISTOL,,
,False,Ascunziş prin pădurice,TUFA,,
,False,A da cu flit,RaMA,,
,False,Luat în nume de rău,INAMIC,,
,False,Socotit printre favoriţi,ATu,,
,False,Mină de cărbune (masc.),BRUN,,
,False,Blacheu la toc!,EU,,
,False,Dreaptă ca lumânarea,FAClIE,,
,False,Darul începutului de an,TORT,,
,False,Lovitură din faţa porţii,CIOc,,
,False,Schimbare de atitudine,PORT,,
,False,Tratate de dermatologie (sg.),RAIoASA,,
,False,Principiu convingător,CREZ,,
,False,Ruj roşu!,Rj,,
,False,Rămas în urma războiului,LES,,
,False,Unu tras pe roată!,UO,,
,False,Emisiune radiofonică,AUDIo,,
,False,Depuse la vedere!,DE,,
,False,Belea curată,PAS,,
,False,In răsucit pentru funii!,NI,,
,False,Cursă cu mers accelerat,RaID,,
,False,Plătiţi la lichidare,ASASINI,,
,False,Loc... amenajat la ospiciu!,IcI,,
,False,Absent la discuţii,TACUT,,
,False,Mulţime separată,CEATa,,
,False,Cu haina pe el în casă,UMERAS,,
