Answer,Clue,File
"pRAF","Şters din datoria personalului de serviciu","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"OCUPAT","Prins asupra faptului","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"IaTAC","Înlocuire la adăpostul întunericului","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"ROASA","Marcată de o purtare abuzivă","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"SMuCIRE","Mişcarea de eliberare","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"SAC","Unitate de morărit","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"TA","Tăiată la spital!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"lOAZA","Aproape de un nivel inacceptabil","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"SU","Grăsuliu la talie","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"BIcI","Executantul unor lovituri de pedeapsă","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"UNIT","Rezultat la adunare","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"LIRE","Bani cheltuiţi prin bazar","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"oRDIN","Obligaţie de serviciu","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"NU","Admiterea unui refuz","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"PAjI","Juniori aflaţi în pregătire cu seniorii","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"IC","Mică la trup!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"TANTOS","Fudulii de cocoşi (sg.)","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"oR","Propune o variantă la pronosport!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"UM","O lume fără graniţe!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"ORAL","Subiect de discuţie","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"aIA","Cea... dreaptă","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"FIERT","Aburit la masă","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"EDIcT","Vechea lege a creştinilor","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"ACUT","Tare de urechi","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"ASEDIa","A înconjura cu ostilitate","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"pISTOL","Bani în schimbul armelor (sg.)","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"TUFA","Ascunziş prin pădurice","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"RaMA","A da cu flit","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"INAMIC","Luat în nume de rău","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"ATu","Socotit printre favoriţi","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"BRUN","Mină de cărbune (masc.)","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"EU","Blacheu la toc!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"FAClIE","Dreaptă ca lumânarea","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"TORT","Darul începutului de an","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"CIOc","Lovitură din faţa porţii","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"PORT","Schimbare de atitudine","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"RAIoASA","Tratate de dermatologie (sg.)","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"CREZ","Principiu convingător","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"Rj","Ruj roşu!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"LES","Rămas în urma războiului","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"UO","Unu tras pe roată!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"AUDIo","Emisiune radiofonică","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"DE","Depuse la vedere!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"PAS","Belea curată","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"NI","In răsucit pentru funii!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"RaID","Cursă cu mers accelerat","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"ASASINI","Plătiţi la lichidare","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"IcI","Loc... amenajat la ospiciu!","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
"TACUT","Absent la discuţii","/home/adi/workspace/rebus/careuri-definitii/js/a-fost.js"
