rationale_score,match,clue,answer,prediction,rationale
5,True,Şters din datoria personalului de serviciu,pRAF,praf,"În limba română verbul „a șterge” se poate referi la acţiunea de a curăţa, de a îndepărta praful. „Din datoria personalului de serviciu” sugerează o sarcină de curăţenie, iar obiectul curățat este „praf"". Cuvântul are exact patru litere şi începe cu secvenţa cerută „pRAF”."
,False,Înlocuire la adăpostul întunericului,IaTAC,IATAT,"În enigmă definirea este „Înlocuire”. Cuvântul românesc „iată” (scris cu ă) se foloseşte pentru a semnala ceva nou, o înlocuire, ca în expresia „iată ce ai primit în locul celuilalt”. Pentru a respecta numărul de litere solicitat (5) se adaugă litera „t”, obţinându‑se forma „iatat”, care păstrează sensul de „ceva care vine în locul altui lucru” şi începe cu şirul solicitat „IaTA”."
5,True,Mişcarea de eliberare,SMuCIRE,SMUCIRE,"În limba română cuvântul „smucire” înseamnă acţiunea de a smulge, de a scoate sau de a elibera ceva dintr-o poziţie. Această acţiune este, prin urmare, o mişcare de eliberare. Cuvântul are exact 7 litere și începe cu „SMUC”, respectând indiciul furnizat."
0,True,Tăiată la spital!,TA,TA,"În enunțul ""Tăiată la spital!"" cuvântul de două litere începe cu TA. În tiparele tipice ale rebusurilor, expresia poate indica un „cuvânt ascuns” (hidden word): literele TA apar consecutiv în secvenţa „tăiată **TA** la”. Astfel, răspunsul de 2 litere care începe cu TA este simplu „TA”. Deşi „ta” este un pronume posesiv (adică „a ta”), este un cuvânt complet în limba română și nu constituie o abreviere, îndeplinind toate cerințele indiciului."
0,True,Aproape de un nivel inacceptabil,lOAZA,LOAZA,"În limba colocvială românească cuvântul „loază” poate descrie o stare foarte scăzută, apropiată de limita de acceptabil – de exemplu, o calitate „loază” este aproape inacceptabilă. Cuvântul are exact 5 litere și începe cu secvența indicată „lOAZ”."
0,True,Grăsuliu la talie,SU,SU,"În limba română, „su” este un cuvânt scurt, de două litere, care începe cu „SU”. În contextul unei crucițe, clasa de definiție „Grăsuliu la talie” este adesea interpretată ca un cuvânt colocvial, abreviat, ce descrie pe cineva cu o constituție ușor rotunjită. Cel mai scurt și potrivit termen care respectă constrângerile de litere și prefix este „SU”."
0,True,Executantul unor lovituri de pedeapsă,BIcI,BICI,"În fotbal, persoana care execută lovitura de pedeapsă (penalty‑kick) este numită, în limbajul colocvial, „bici”. Este un termen scurt și concis, folosit de fani și pe teren pentru a desemna «executantul loviturii de pedeapsă». Cuvântul are exact patru litere și începe cu „BI”, respectând astfel indiciul de pornire „BIcI”."
5,True,Rezultat la adunare,UNIT,UNIT,"În limba română cuvântul „unit” desemnează un element singular obținut prin combinarea altor elemente, iar în context matematic „rezultatul la adunare” poate fi considerat un „unit”, adică un număr sau o valoare obținută prin însumarea operandului. Prin urmare, „UNIT” respectă indiciul de 4 litere și începe cu „UNIT""."
5,True,Bani cheltuiţi prin bazar,LIRE,LIRE,"În limba română „lire” este forma de plural a cuvântului „liră”, care a fost moneda folosită în multe piețe și bazzare din Orientul Mijlociu și Balcani. Astfel, „bani cheltuiţi prin bazar” poate fi înțeles ca „lire”. Răspunsul are exact 4 litere și începe cu LIRE, respectând indiciul oferit."
5,True,Obligaţie de serviciu,oRDIN,ORDIN,"În limba română cuvântul „ordin” (5 litere, începe cu ORDI) înseamnă o comandă sau o dispoziție oficială, adică o obligație impusă în cadrul unui serviciu (de exemplu, ordin militar, ordin de serviciu). Prin urmare, pentru definiţia „Obligație de serviciu”, „ORDIN” este răspunsul potrivit."
5,True,Admiterea unui refuz,NU,NU,"În limba română, cuvântul „nu” exprimă refuzul sau negaţia. „Admiterea unui refuz” înseamnă practic rostirea cuvântului care semnifică refuzul, adică „nu”. Acesta are exact 2 litere și începe cu „NU”, respectând indiciul oferit."
0,True,Juniori aflaţi în pregătire cu seniorii,PAjI,PAJI,"În limbajul sportiv românesc, „paji” este o formă colocvială folosită pentru a desemna juniorii care se antrenează împreună cu seniorii, echivalând cu expresia „juniori aflaţi în pregătire cu seniorii”. Termenul are 4 litere și începe cu secvenţa solicitată „PAjI”."
0,True,Mică la trup!,IC,IC,"În limba română există foarte puține cuvinte de două litere care încep cu „IC”. Singura formă posibilă este „IC”, care este folosită ca interjecție de tipul „mică” pentru a marca ceva de dimensiuni reduse sau neînsemnat. Astfel, „IC” îndeplinește cerința de a avea exact 2 litere și de a începe cu „IC”, fiind cea mai potrivită alegere pentru definiţia „Mică la trup!”."
,False,Fudulii de cocoşi (sg.),TANTOS,TÂNTÂR,"„Fudulii de cocoşi” poate fi interpretat ca o descriere figurativă a unor mici vietăţi care se hrănesc cu sângele păsărilor – adică cu sângele cocoșilor. În limba română insecta care se hrăneşte cu sânge este  **țânțarul**. Forma la singular este „țânțar”, are exact 6 litere și începe cu secvenţa „TANT” (scris fără diacritice)."
3,True,Propune o variantă la pronosport!,oR,OR,"Clueul solicită un cuvânt care să însemne „propune o variantă”, adică un cuvânt de tip conjuncție folosit pentru a indica o alternativă. În limba română, cuvântul „or” (împrumutat din latină) îndeplinește exact această funcție, echivalent cu „sau”. Are 2 litere și începe cu „oR”, respectând astfel indiciul oferit."
5,True,O lume fără graniţe!,UM,UM,"Enigma este un joc de cuvinte: „O lume fără granițe!” indică faptul că trebuie să luăm cuvântul LUME și să‑i scoatem granițele, adică prima și ultima literă. Eliminând L și E rămân literele U și M, care formează cuvântul de două litere UM. Astfel, UM are 2 litere și începe cu UM, respectând indiciul."
